Date,Open,High,Low,Close,Volume,Adj Close
2012-07-30,636.05,642.6,629.5,632.3,4369000,316.47
2012-07-31,628.26,636.5,628.22,632.97,3727400,316.8
2012-08-01,637.3,639.51,631.38,632.68,3685500,316.66
2012-08-02,625.51,638.03,623.41,628.75,3951400,314.69
2012-08-03,640.0,643.72,636.14,641.33,3790400,320.99
2012-08-06,639.61,649.38,639.22,642.82,3561200,321.73
2012-08-07,641.79,644.26,636.47,640.54,3959600,320.59
2012-08-08,639.05,645.87,638.5,642.23,2641700,321.44
2012-08-09,644.51,646.37,641.52,642.35,2138400,321.5
2012-08-10,638.59,642.24,636.13,642.0,2866300,321.32
2012-08-13,647.42,660.15,646.68,660.01,6529200,330.34
2012-08-14,659.25,672.85,659.0,668.66,7316000,334.66
2012-08-15,670.28,674.25,664.1,667.54,4816500,334.1
2012-08-16,667.51,674.64,667.08,672.87,3431900,336.77
2012-08-17,674.12,677.25,671.7,677.14,4351000,338.91
2012-08-20,675.5,678.87,672.66,675.54,3512600,338.11
2012-08-21,673.11,678.0,662.17,669.51,4439900,335.09
2012-08-22,667.38,680.6,666.7,677.18,3814500,338.93
2012-08-23,674.27,680.48,671.0,676.8,3564800,338.74
2012-08-24,675.6,680.45,674.08,678.63,2850300,339.65
2012-08-27,662.99,672.0,659.24,669.22,5222100,334.94
2012-08-28,665.0,677.62,664.74,677.25,4113000,338.96
2012-08-29,677.37,688.99,676.15,688.01,5974600,344.35
2012-08-30,684.24,687.39,680.18,681.68,3250500,341.18
2012-08-31,684.0,688.58,680.04,685.09,4249900,342.89
2012-09-04,684.55,685.0,673.5,681.04,3775400,340.86
2012-09-05,680.0,686.5,679.14,680.72,3412900,340.7
2012-09-06,685.96,699.89,684.73,699.4,6080900,350.05
2012-09-07,700.0,712.25,697.67,706.15,6459500,353.43
2012-09-10,709.76,712.81,698.39,700.77,5114800,350.74
2012-09-11,697.96,700.65,691.0,692.19,3743800,346.44
2012-09-12,689.41,694.91,680.88,690.88,5279300,345.79
2012-09-13,693.09,709.0,690.54,706.04,5312600,353.37
2012-09-14,709.6,713.0,707.01,709.68,5231700,355.2
2012-09-17,708.11,712.88,705.0,709.98,3013500,355.35
2012-09-18,707.78,718.66,706.78,718.28,4129400,359.5
2012-09-19,717.5,728.56,716.41,727.5,6190400,364.11
2012-09-20,724.47,731.38,721.22,728.12,5808900,364.42
2012-09-21,732.21,734.92,730.12,733.99,12705400,367.36
2012-09-24,731.0,750.04,730.25,749.38,7120400,375.07
2012-09-25,753.05,764.89,747.66,749.16,12104800,374.95
2012-09-26,749.85,761.24,741.0,753.46,11334400,377.11
2012-09-27,759.95,762.84,751.65,756.5,7854300,378.63
2012-09-28,754.15,759.3,751.15,754.5,5561400,377.63
2012-10-01,759.05,765.0,756.21,761.78,6329600,381.27
2012-10-02,765.2,765.99,750.27,756.99,5574800,378.87
2012-10-03,755.72,763.92,752.2,762.5,4412100,381.63
2012-10-04,762.75,769.89,759.4,768.05,4903400,384.41
2012-10-05,770.71,774.38,765.01,767.65,5466300,384.21
2012-10-08,761.0,763.58,754.15,757.84,3913200,379.3
2012-10-09,759.67,761.32,742.53,744.09,6000300,372.42
2012-10-10,741.86,747.53,738.29,744.56,4075700,372.65
2012-10-11,752.9,758.5,750.29,751.48,4763000,376.12
2012-10-12,751.85,754.87,744.1,744.75,4803500,372.75
2012-10-15,741.94,743.83,730.7,740.98,6032100,370.86
2012-10-16,740.13,746.99,736.46,744.7,4112200,372.72
2012-10-17,743.95,756.34,740.26,755.49,4581200,378.12
2012-10-18,755.54,759.42,676.0,695.0,24859900,347.85
2012-10-19,705.58,706.7,672.0,681.79,22941400,341.24
2012-10-22,681.01,684.63,669.7,678.67,8103000,339.67
2012-10-23,672.01,687.33,672.0,680.35,5827300,340.52
2012-10-24,686.8,687.0,675.27,677.3,4988000,338.99
2012-10-25,680.0,682.0,673.51,677.76,4797300,339.22
2012-10-26,676.5,683.03,671.2,675.15,3897600,337.91
2012-10-31,679.86,681.0,675.0,680.3,3070900,340.49
2012-11-01,679.5,690.9,678.72,687.59,4096000,344.14
2012-11-02,694.79,695.55,687.37,687.92,4644100,344.3
2012-11-05,684.5,686.86,675.56,682.96,3268500,341.82
2012-11-06,685.48,686.5,677.55,681.72,3162400,341.2
2012-11-07,675.0,678.23,666.49,667.12,4460100,333.89
2012-11-08,670.2,671.49,651.23,652.29,5188800,326.47
2012-11-09,654.65,668.34,650.3,663.03,6221900,331.85
2012-11-12,663.75,669.8,660.87,665.9,2808900,333.28
2012-11-13,663.0,667.6,658.23,659.05,3185200,329.85
2012-11-14,660.66,662.18,650.5,652.55,3333400,326.6
2012-11-15,650.0,660.0,643.9,647.26,3694100,323.95
2012-11-16,645.99,653.02,636.0,647.18,6869500,323.91
2012-11-19,655.7,668.92,655.53,668.21,4731600,334.44
2012-11-20,669.51,678.0,664.57,669.97,4173200,335.32
2012-11-21,668.99,669.8,660.4,665.87,4220100,333.27
2012-11-23,669.97,670.0,666.1,667.97,1843100,334.32
2012-11-26,666.44,667.0,659.02,661.15,4404700,330.91
2012-11-27,660.17,675.0,658.0,670.71,5012300,335.69
2012-11-28,668.01,684.91,663.89,683.67,6077900,342.18
2012-11-29,687.78,693.9,682.0,691.89,5547400,346.29
2012-11-30,691.31,699.22,685.69,698.37,6320800,349.53
2012-12-03,702.24,705.89,694.11,695.25,4380600,347.97
2012-12-04,695.0,695.51,685.7,691.03,3979400,345.86
2012-12-05,692.15,694.5,682.33,687.82,3721000,344.25
2012-12-06,687.59,695.61,684.51,691.13,2921600,345.91
2012-12-07,695.0,696.88,682.42,684.21,3834700,342.45
2012-12-10,685.39,691.65,683.79,685.42,2730600,343.05
2012-12-11,690.0,701.92,687.72,696.88,5369800,348.79
2012-12-12,699.23,703.51,693.48,697.56,4847100,349.13
2012-12-13,715.92,716.47,699.55,702.7,6882900,351.7
2012-12-14,699.17,707.82,698.43,701.96,4255900,351.33
2012-12-17,705.5,721.92,704.02,720.78,6064700,360.75
2012-12-18,716.6,729.1,715.05,721.07,6003700,360.9
2012-12-19,720.71,723.0,716.68,720.11,3833300,360.42
2012-12-20,723.26,724.65,716.97,722.36,3310600,361.54
2012-12-21,713.97,718.82,710.52,715.63,7044900,358.17
2012-12-24,714.51,715.18,707.47,709.5,1680100,355.11
2012-12-26,708.07,712.88,702.41,708.87,2362400,354.79
2012-12-27,707.14,708.84,698.61,706.29,3291500,353.5
2012-12-28,701.69,706.91,700.01,700.01,2801100,350.36
2012-12-31,700.0,710.57,696.0,707.38,3990800,354.04
2013-01-02,719.42,727.0,716.55,723.25,5077500,361.99
2013-01-03,724.93,731.93,720.72,723.67,4631700,362.2
2013-01-04,729.34,741.47,727.68,737.97,5521400,369.35
2013-01-07,735.45,739.38,730.58,734.75,3308000,367.74
2013-01-08,735.54,736.3,724.43,733.3,3348800,367.02
2013-01-09,732.27,738.35,728.6,738.12,4045300,369.43
2013-01-10,742.83,745.0,733.5,741.48,3667700,371.11
2013-01-11,742.0,742.43,736.3,739.99,2567800,370.37
2013-01-14,737.0,742.2,722.35,723.25,5722000,361.99
2013-01-15,719.33,735.0,712.1,724.93,7847500,362.83
2013-01-16,722.4,724.34,713.67,715.19,4042700,357.95
2013-01-17,717.71,719.64,711.02,711.32,4418500,356.02
2013-01-18,710.36,712.77,701.33,704.51,6447100,352.61
2013-01-22,704.66,705.34,695.52,702.87,7577200,351.79
2013-01-23,735.99,749.0,735.79,741.5,11806300,371.12
2013-01-24,741.24,756.83,740.51,754.21,6758600,377.48
2013-01-25,750.77,758.48,750.25,753.67,4447300,377.21
2013-01-28,751.76,755.6,747.89,750.73,3250900,375.74
2013-01-29,746.75,756.95,746.54,753.68,3490700,377.22
2013-01-30,753.74,760.95,752.91,753.83,3462500,377.29
2013-01-31,750.51,757.62,750.25,755.69,3265100,378.22
2013-02-01,758.2,776.6,758.1,775.6,7484700,388.19
2013-02-04,767.69,770.47,758.27,759.02,6074900,379.89
2013-02-05,761.13,771.11,759.47,765.74,3737600,383.25
2013-02-06,759.07,772.96,758.5,770.17,4152000,385.47
2013-02-07,769.7,778.81,765.5,773.95,5674700,387.36
2013-02-08,780.13,786.67,779.56,785.37,6034100,393.08
2013-02-11,778.4,783.0,773.75,782.42,4331200,391.6
2013-02-12,781.75,787.9,779.37,780.7,3714200,390.74
2013-02-13,780.13,785.35,779.97,782.86,2394000,391.82
2013-02-14,779.73,788.74,777.77,787.82,3467100,394.3
2013-02-15,787.4,793.26,787.07,792.89,5454100,396.84
2013-02-19,795.99,807.0,795.28,806.85,5857700,403.83
2013-02-20,805.3,808.97,791.79,792.46,5522800,396.63
2013-02-21,798.0,805.45,791.22,795.53,7005700,398.16
2013-02-22,799.26,801.25,793.8,799.71,4103600,400.26
2013-02-25,802.3,808.41,790.49,790.77,4603100,395.78
2013-02-26,795.0,795.95,784.4,790.13,4400500,395.46
2013-02-27,794.8,804.75,791.11,799.78,4048100,400.29
2013-02-28,801.1,806.99,801.03,801.2,4527000,401.0
2013-03-01,797.8,807.14,796.15,806.19,4346400,403.5
2013-03-04,805.3,822.84,805.0,821.5,5545600,411.16
2013-03-05,828.93,840.15,828.9,838.6,8080100,419.72
2013-03-06,841.03,844.0,828.81,831.38,5740200,416.11
2013-03-07,834.06,836.62,829.58,832.6,4101200,416.72
2013-03-08,834.5,834.92,825.05,831.52,5817900,416.18
2013-03-11,831.69,839.7,831.5,834.82,3186200,417.83
2013-03-12,830.71,831.89,823.67,827.61,4012500,414.22
2013-03-13,827.9,830.69,822.31,825.31,3279300,413.07
2013-03-14,826.99,826.99,817.39,821.54,3299000,411.18
2013-03-15,818.5,820.3,813.34,814.3,6193200,407.56
2013-03-18,805.0,812.76,801.47,807.79,3672900,404.3
2013-03-19,811.24,819.25,806.45,811.32,4192200,406.07
2013-03-20,816.83,817.51,811.44,814.71,2924600,407.76
2013-03-21,811.29,816.92,809.85,811.26,2952200,406.04
2013-03-22,814.74,815.24,809.64,810.31,2973400,405.56
2013-03-25,812.41,819.23,806.82,809.64,3420500,405.23
2013-03-26,813.5,814.0,807.79,812.42,2381400,406.62
2013-03-27,806.68,807.0,801.33,802.66,4322000,401.73
2013-03-28,803.99,805.37,793.3,794.19,4571000,397.49
2013-04-01,795.01,802.25,793.25,801.19,3610900,401.0
2013-04-02,804.54,814.83,804.0,813.04,4078900,406.93
2013-04-03,813.46,814.2,800.67,806.2,3473500,403.5
2013-04-04,804.25,805.75,791.3,795.07,4890300,397.93
2013-04-05,786.06,786.99,776.4,783.05,6860900,391.92
2013-04-08,778.75,779.55,768.4,774.85,5658500,387.81
2013-04-09,775.5,783.75,773.11,777.65,4310200,389.21
2013-04-10,782.92,792.35,776.0,790.18,3953200,395.49
2013-04-11,792.88,793.1,784.06,790.39,4053300,395.59
2013-04-12,791.99,792.1,782.93,790.05,3270100,395.42
2013-04-15,785.95,797.0,777.02,781.93,4901200,391.36
2013-04-16,786.59,796.0,783.92,793.37,3480500,397.08
2013-04-17,786.75,790.84,778.1,782.56,4069900,391.67
2013-04-18,785.35,785.8,761.26,765.91,6638300,383.34
2013-04-19,769.16,803.44,766.26,799.87,11594700,400.34
2013-04-22,800.6,803.96,775.0,800.11,5761000,400.46
2013-04-23,801.0,815.5,800.36,807.9,4580000,404.35
2013-04-24,808.11,818.0,808.0,813.45,3654500,407.13
2013-04-25,816.25,816.47,807.63,809.1,3980400,404.95
2013-04-26,807.6,807.74,796.58,801.42,4970400,401.11
2013-04-29,803.25,822.7,803.0,819.06,4596900,409.94
2013-04-30,819.0,827.64,817.68,824.57,4608700,412.7
2013-05-01,823.26,824.72,816.36,820.43,2907000,410.63
2013-05-02,820.1,834.55,819.05,829.61,4032500,415.22
2013-05-03,836.96,846.8,836.0,845.72,5020100,423.28
2013-05-06,848.26,861.85,848.26,861.55,4278300,431.21
2013-05-07,863.01,863.87,850.67,857.23,3914000,429.04
2013-05-08,857.0,873.88,852.91,873.63,4931600,437.25
2013-05-09,870.84,879.66,868.23,871.48,4396700,436.18
2013-05-10,875.31,880.54,872.16,880.23,3791600,440.56
2013-05-13,878.89,882.47,873.38,877.53,2894100,439.2
2013-05-14,877.5,888.69,877.14,887.1,3155400,443.99
2013-05-15,895.5,916.38,894.02,915.89,7963800,458.4
2013-05-16,919.0,919.98,902.01,903.87,6412700,452.39
2013-05-17,910.02,913.49,900.52,909.18,5578400,455.05
2013-05-20,905.0,920.6,905.0,908.53,4540800,454.72
2013-05-21,908.02,911.66,897.61,906.97,3962000,453.94
2013-05-22,902.56,909.31,886.88,889.42,5116000,445.16
2013-05-23,877.0,889.96,874.0,882.79,4545600,441.84
2013-05-24,875.26,878.82,871.01,873.32,4589000,437.1
2013-05-28,883.5,892.14,880.4,881.27,4510400,441.08
2013-05-29,875.71,877.99,864.29,868.31,4022700,434.59
2013-05-30,869.92,878.9,866.41,870.76,4237100,435.82
2013-05-31,868.12,877.0,867.52,871.22,3934800,436.05
2013-06-03,873.0,873.97,855.02,867.63,4946400,434.25
2013-06-04,867.85,870.59,854.07,859.1,3733400,429.98
2013-06-05,862.51,869.45,857.13,859.7,4209300,430.28
2013-06-06,864.3,866.33,847.22,864.64,5153000,432.75
2013-06-07,870.42,880.0,865.32,879.73,5343800,440.31
2013-06-10,882.1,891.0,880.09,890.22,4670900,445.56
2013-06-11,883.97,887.0,879.52,879.81,3511600,440.35
2013-06-12,885.46,886.0,869.65,871.98,4405100,436.43
2013-06-13,868.98,879.66,865.5,877.0,4135600,438.94
2013-06-14,880.1,884.7,874.13,875.04,4485500,437.96
2013-06-17,879.23,889.43,878.28,886.25,4288300,443.57
2013-06-18,888.65,901.0,888.35,900.62,4329400,450.76
2013-06-19,901.37,910.84,897.5,900.68,5825900,450.79
2013-06-20,893.99,901.0,883.31,884.74,6737200,442.81
2013-06-21,888.34,889.88,873.07,880.93,7956600,440.91
2013-06-24,871.88,876.32,863.25,869.79,6027700,435.33
2013-06-25,877.26,879.68,864.51,866.2,5101200,433.53
2013-06-26,873.75,878.0,870.57,873.65,3659100,437.26
2013-06-27,878.8,884.69,876.65,877.07,3849100,438.97
2013-06-28,874.9,881.84,874.19,880.37,4693900,440.63
2013-07-01,886.45,892.08,885.0,887.88,3446100,444.38
2013-07-02,890.2,891.0,877.27,882.31,3779200,441.6
2013-07-03,879.9,889.17,878.5,886.43,2091900,443.66
2013-07-05,890.01,895.41,887.34,893.49,3400300,447.19
2013-07-08,899.21,906.27,897.08,905.09,3935000,453.0
2013-07-09,911.0,912.95,897.98,905.24,3954800,453.07
2013-07-10,903.45,911.14,900.38,905.99,3413300,453.45
2013-07-11,913.0,920.81,908.52,920.24,5163200,460.58
2013-07-12,920.0,923.0,915.24,923.0,5131200,461.96
2013-07-15,924.3,928.0,916.36,924.69,3917000,462.81
2013-07-16,927.13,927.97,913.9,919.61,3962000,460.27
2013-07-17,921.0,926.86,916.3,918.55,3009100,459.73
2013-07-18,918.99,920.0,903.19,910.68,7261700,455.8
2013-07-19,886.61,902.95,875.61,896.6,14703800,448.75
2013-07-22,902.0,912.67,897.0,910.7,5800500,455.81
2013-07-23,910.7,913.0,899.57,903.8,4087300,452.35
2013-07-24,907.26,910.3,900.7,902.9,4152800,451.9
2013-07-25,893.87,896.85,886.08,887.7,5996100,444.29
2013-07-26,886.99,889.99,882.0,885.35,3551800,443.12
2013-07-29,884.9,894.82,880.89,882.27,3780000,441.58
2013-07-30,885.46,895.61,880.87,890.92,3507600,445.91
2013-07-31,892.99,896.51,886.18,887.75,4342600,444.32
2013-08-01,895.0,904.55,895.0,904.22,4272500,452.56
2013-08-02,903.44,907.0,900.82,906.57,3424300,453.74
2013-08-05,905.39,905.52,899.2,905.0,2616700,452.95
2013-08-06,904.69,909.71,895.73,896.57,3009100,448.73
2013-08-07,895.04,898.45,889.09,890.65,2755600,445.77
2013-08-08,895.49,895.84,885.29,892.66,2973000,446.78
2013-08-09,890.56,895.52,890.0,890.41,2644700,445.65
2013-08-12,886.9,887.0,881.65,885.51,2751200,443.2
2013-08-13,886.83,888.5,876.2,881.25,2836700,441.07
2013-08-14,878.37,880.23,867.16,869.81,4160200,435.34
2013-08-15,864.44,864.92,858.0,859.66,3734600,430.26
2013-08-16,861.28,862.44,856.54,856.91,3346800,428.88
2013-08-19,857.71,872.0,857.45,865.65,3618100,433.26
2013-08-20,868.35,872.11,863.54,865.42,2463500,433.14
2013-08-21,870.65,876.91,866.5,869.33,3511000,435.1
2013-08-22,872.7,874.75,870.25,873.71,1738000,437.29
2013-08-23,877.83,878.0,869.75,870.21,2152000,435.54
2013-08-26,870.0,874.9,866.05,866.39,2102800,433.63
2013-08-27,859.62,863.73,847.9,850.15,3464700,425.5
2013-08-28,850.25,855.41,847.77,848.55,2657100,424.7
2013-08-29,849.07,860.38,848.59,855.43,2954000,428.14
2013-08-30,855.76,858.04,845.56,846.9,3719400,423.87
2013-09-03,854.36,866.19,853.95,860.38,4091100,430.62
2013-09-04,860.35,873.5,855.17,871.63,4078300,436.25
2013-09-05,873.5,879.88,871.61,879.56,2580000,440.22
2013-09-06,882.44,883.78,873.74,879.58,3120000,440.23
2013-09-09,883.73,889.75,882.42,888.05,2466700,444.47
2013-09-10,890.02,892.0,884.0,888.67,2572600,444.78
2013-09-11,888.54,896.97,886.08,896.19,3217900,448.54
2013-09-12,897.4,897.9,890.01,893.06,2188800,446.98
2013-09-13,894.5,895.68,884.84,889.07,2648100,444.98
2013-09-16,896.2,897.0,884.87,887.76,2670300,444.32
2013-09-17,887.41,888.39,881.0,886.11,2516200,443.5
2013-09-18,886.35,903.97,883.07,903.32,3865500,452.11
2013-09-19,905.99,905.99,895.4,898.39,3192600,449.64
2013-09-20,898.39,904.13,895.62,903.11,8681900,452.01
2013-09-23,896.15,901.59,885.2,886.5,3551200,443.69
2013-09-24,886.5,890.1,881.4,886.84,2970600,443.86
2013-09-25,886.55,886.55,875.6,877.23,3294700,439.05
2013-09-26,878.3,882.75,875.0,878.17,2517200,439.52
2013-09-27,874.82,877.52,871.31,876.39,2515000,438.63
2013-09-30,869.08,880.84,868.31,875.91,3441300,438.39
2013-10-01,880.25,887.67,880.05,887.0,3366200,443.94
2013-10-02,882.73,889.36,877.82,887.99,2987600,444.44
2013-10-03,888.0,894.1,872.1,876.09,4229700,438.48
2013-10-04,875.0,877.51,870.0,872.35,2713200,436.61
2013-10-07,867.45,873.99,864.11,865.74,2584600,433.3
2013-10-08,865.32,865.98,851.63,853.67,3883500,427.26
2013-10-09,856.28,862.65,842.98,855.86,5297200,428.36
2013-10-10,863.84,868.83,860.21,868.24,4506000,434.55
2013-10-11,866.03,873.48,865.3,871.99,2814900,436.43
2013-10-14,866.66,876.25,865.39,876.11,2484700,438.49
2013-10-15,875.76,885.63,874.0,882.01,3180600,441.45
2013-10-16,885.87,898.33,884.01,898.03,4011100,449.46
2013-10-17,892.99,896.9,885.73,888.79,8504600,444.84
2013-10-18,976.58,1015.46,974.0,1011.41,23109600,506.21
2013-10-21,1011.46,1019.0,999.55,1003.3,7249300,502.15
2013-10-22,1005.0,1013.0,995.79,1007.0,4412700,504.0
2013-10-23,1001.0,1034.75,1000.63,1031.41,5321000,516.22
2013-10-24,1031.87,1040.57,1024.8,1025.55,4180000,513.29
2013-10-25,1028.82,1028.82,1010.74,1015.2,4056900,508.11
2013-10-28,1015.2,1023.43,1012.99,1015.0,2315000,508.01
2013-10-29,1019.1,1036.94,1013.5,1036.24,3206700,518.64
2013-10-30,1037.43,1037.51,1026.0,1030.42,2645500,515.73
2013-10-31,1028.93,1041.52,1023.97,1030.58,3276700,515.81
2013-11-01,1031.79,1036.0,1025.1,1027.04,2564000,514.03
2013-11-04,1031.5,1032.37,1022.03,1026.11,2275300,513.57
2013-11-05,1020.35,1031.65,1017.42,1021.52,2360400,511.27
2013-11-06,1025.6,1027.0,1015.37,1022.75,1823900,511.89
2013-11-07,1022.61,1023.93,1007.64,1007.95,3355800,504.48
2013-11-08,1008.75,1018.5,1008.5,1016.03,2579000,508.52
2013-11-11,1009.51,1015.93,1008.0,1010.59,2222900,505.8
2013-11-12,1007.7,1017.56,1005.0,1011.78,2433700,506.4
2013-11-13,1006.75,1032.85,1006.5,1032.47,3155600,516.75
2013-11-14,1033.92,1039.75,1030.35,1035.23,2331000,518.13
2013-11-15,1034.87,1038.0,1030.31,1033.56,2550000,517.3
2013-11-18,1035.75,1048.74,1029.24,1031.55,3515800,516.29
2013-11-19,1031.72,1034.75,1023.05,1025.2,2260900,513.11
2013-11-20,1029.95,1033.36,1020.36,1022.31,1925400,511.67
2013-11-21,1027.0,1038.31,1026.0,1034.07,2181400,517.55
2013-11-22,1033.42,1036.17,1029.22,1031.89,2505800,516.46
2013-11-25,1037.16,1053.19,1035.02,1045.93,3222700,523.49
2013-11-26,1048.6,1061.5,1042.94,1058.41,4568000,529.73
2013-11-27,1062.03,1068.0,1060.0,1063.11,2244900,532.09
2013-11-29,1062.16,1066.62,1059.45,1059.59,2383200,530.33
2013-12-02,1063.51,1066.35,1050.76,1054.48,2743600,527.77
2013-12-03,1050.95,1063.44,1049.02,1053.26,3348800,527.16
2013-12-04,1051.37,1063.98,1050.0,1058.18,2380800,529.62
2013-12-05,1057.2,1059.66,1051.09,1057.34,2265100,529.2
2013-12-06,1069.79,1070.0,1060.08,1069.87,2854700,535.47
2013-12-09,1070.99,1082.31,1068.02,1078.14,2962200,539.61
2013-12-10,1076.15,1092.31,1075.65,1084.66,3704000,542.87
2013-12-11,1087.4,1091.32,1075.17,1077.29,3420100,539.18
2013-12-12,1079.57,1082.94,1069.0,1069.96,3189800,535.52
2013-12-13,1075.4,1076.29,1057.89,1060.79,4320400,530.93
2013-12-16,1064.0,1074.69,1062.01,1072.98,3200700,537.03
2013-12-17,1072.82,1080.76,1068.38,1069.86,3068300,535.47
2013-12-18,1071.85,1084.95,1059.04,1084.75,4416100,542.92
2013-12-19,1080.77,1091.99,1079.08,1086.22,3328000,543.65
2013-12-20,1088.3,1101.17,1088.0,1100.62,6516600,550.86
2013-12-23,1107.84,1115.8,1105.12,1115.1,3439700,558.11
2013-12-24,1114.97,1115.24,1108.1,1111.84,1466900,556.48
2013-12-26,1114.01,1119.0,1108.69,1117.46,2672900,559.29
2013-12-27,1120.0,1120.28,1112.94,1118.4,3136200,559.76
2013-12-30,1120.34,1120.5,1109.02,1109.46,2469700,555.29
2013-12-31,1112.24,1121.0,1106.26,1120.71,2713000,560.92
2014-01-02,1115.46,1117.75,1108.26,1113.12,3639100,557.12
2014-01-03,1115.0,1116.93,1104.93,1105.0,3330000,553.05
2014-01-06,1113.01,1118.86,1106.44,1117.32,3535000,559.22
2014-01-07,1125.0,1139.69,1121.16,1138.86,5100000,570.0
2014-01-08,1146.0,1147.32,1133.29,1141.23,4480500,571.19
2014-01-09,1143.44,1144.22,1125.56,1130.24,4164800,565.69
2014-01-10,1139.08,1139.08,1122.25,1130.18,4282700,565.66
2014-01-13,1126.47,1146.91,1117.17,1122.98,4832900,562.05
2014-01-14,1137.95,1151.0,1128.09,1149.4,4960200,575.28
2014-01-15,1152.99,1155.0,1143.79,1148.62,3896400,574.88
2014-01-16,1149.1,1157.93,1148.0,1156.22,3364400,578.69
2014-01-17,1156.85,1160.63,1144.2,1150.53,5397100,575.84
2014-01-21,1160.93,1164.0,1151.3,1163.7,3955800,582.43
2014-01-22,1166.61,1167.89,1158.86,1165.02,3139600,583.09
2014-01-23,1160.0,1162.49,1154.37,1160.1,3894300,580.63
2014-01-24,1151.01,1153.55,1123.0,1123.83,7777200,562.48
2014-01-27,1126.1,1126.5,1082.27,1101.23,8698400,551.17
2014-01-28,1110.32,1125.75,1109.94,1123.01,4415900,562.07
2014-01-29,1119.12,1121.75,1099.42,1106.92,4755000,554.01
2014-01-30,1145.0,1152.49,1127.25,1135.39,10172600,568.26
2014-01-31,1171.35,1186.54,1151.13,1180.97,11121400,591.08
2014-02-03,1179.2,1181.72,1132.01,1133.43,9129000,567.28
2014-02-04,1137.99,1155.0,1137.01,1138.16,5618100,569.65
2014-02-05,1143.38,1150.77,1128.02,1143.2,4784200,572.17
2014-02-06,1151.13,1160.16,1147.55,1159.96,3889300,580.56
2014-02-07,1167.63,1177.9,1160.56,1177.44,5267100,589.31
2014-02-10,1171.8,1182.4,1169.02,1172.93,3886500,587.05
2014-02-11,1180.17,1191.87,1172.21,1190.18,4097400,595.69
2014-02-12,1189.0,1190.0,1181.38,1186.69,3445500,593.94
2014-02-13,1180.75,1199.9,1179.66,1199.9,3669100,600.55
2014-02-14,1195.61,1204.39,1192.8,1202.8,4369000,602.0
2014-02-18,1201.41,1212.87,1200.0,1210.88,4213500,606.05
2014-02-19,1205.3,1209.22,1197.5,1202.34,4202900,601.77
2014-02-20,1203.14,1206.89,1200.22,1204.11,3398100,602.66
2014-02-21,1207.81,1209.87,1202.84,1203.79,3720800,602.5
2014-02-24,1205.36,1220.16,1205.1,1212.51,3345200,606.86
2014-02-25,1215.94,1224.5,1210.42,1220.0,2874500,610.61
2014-02-26,1224.0,1228.88,1213.76,1220.17,3960400,610.7
2014-02-27,1218.39,1224.23,1217.01,1219.21,2517400,610.22
2014-02-28,1220.34,1224.19,1206.22,1215.65,4622500,608.43
2014-03-03,1206.75,1207.84,1192.14,1202.69,4205300,601.95
2014-03-04,1215.0,1216.0,1209.5,1214.91,2932400,608.06
2014-03-05,1215.05,1223.08,1211.41,1218.26,2468100,609.74
2014-03-06,1222.28,1226.15,1218.6,1219.61,2533600,610.42
2014-03-07,1226.8,1226.99,1211.44,1214.79,3027100,608.0
2014-03-10,1215.69,1217.64,1204.09,1211.57,2426700,606.39
2014-03-11,1213.77,1214.32,1196.64,1199.99,3422500,600.6
2014-03-12,1196.4,1207.85,1184.19,1207.3,3924600,604.25
2014-03-13,1207.95,1210.5,1184.76,1189.06,4686500,595.13
2014-03-14,1181.99,1190.87,1172.53,1172.8,4583200,586.99
2014-03-17,1179.25,1197.07,1178.11,1192.1,4319800,596.65
2014-03-18,1194.67,1211.53,1193.06,1211.26,3626300,606.24
2014-03-19,1211.8,1211.99,1194.41,1199.25,3222500,600.23
2014-03-20,1199.95,1209.61,1195.36,1197.16,3366000,599.18
2014-03-21,1206.31,1209.63,1182.45,1183.04,6410500,592.11
2014-03-24,1184.19,1184.9,1145.95,1157.93,6068100,579.54
2014-03-25,1166.0,1169.84,1147.0,1158.72,4815500,579.94
2014-03-26,1162.01,1171.57,1131.5,1131.97,5154800,566.55
2014-03-27,1130.85,1131.94,1102.1,1114.28,7636700,557.7
2014-03-28,1119.0,1133.19,1117.77,1120.15,4513200,560.64
2014-03-31,1130.4,1135.0,1112.85,1114.51,3880700,557.81
2014-04-01,1120.27,1137.5,1118.0,1134.89,2181000,568.01
2014-04-02,1141.9,1144.8,1124.0,1135.1,4168000,568.12
2014-04-03,573.39,588.3,566.01,571.5,4018300,571.5
2014-04-04,578.55,579.72,544.49,545.25,5363700,545.25
2014-04-07,544.79,549.85,530.53,540.63,3961600,540.63
2014-04-08,545.05,559.88,544.7,557.51,3482500,557.51
2014-04-09,565.84,567.8,555.38,567.04,3031600,567.04
2014-04-10,568.0,568.21,545.5,546.69,3294500,546.69
2014-04-11,537.94,547.59,533.4,537.76,3174700,537.76
2014-04-14,543.66,553.02,540.52,545.2,2541200,545.2
2014-04-15,551.0,552.89,530.64,548.7,3997800,548.7
2014-04-16,557.7,564.0,553.1,563.9,4582200,563.9
2014-04-17,556.32,557.0,539.4,543.34,5614700,543.34
2014-04-21,544.0,544.0,534.0,539.37,2425100,539.37
2014-04-22,536.0,548.0,536.0,545.5,2331100,545.5
2014-04-23,543.67,544.8,528.13,537.51,1955700,537.51
2014-04-24,541.69,542.5,531.0,534.44,2067400,534.44
